Name,Description,Material,Color,Current Price,Old Price,Discount,Piece,Availability,Category,Gender,Size,Design,Link
3 Piece Embroidered Khaddar Suit with Printed Shawl,        Printed Shawl| Yarn dyed 3 Meters Shirt| Embroidered Daman| Dyed Khaddar Trouser    ,Khaddar,Off White,PKR 4500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-khaddar-suit-with-printed-shawl-21535
2 Piece Embroidered Khaddar Suit with Dyed Trouser,        Yarn Dyed Shirt 3 Meters| Embroidered Neckline on Shirt and Separate lace | Dyed Khaddar Trouser    ,Khaddar,Grey,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-khaddar-suit-with-printed-shawl-21534
2 Piece Embroidered Khaddar Suit with Khaddar Trouser,        Yarn Dyed Shirt 3 Meters| Embroidered Shirt Front| Dyed Khaddar Trouser    ,Khaddar,Peach,PKR 3500 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Embroidered,https://www.alkaramstudio.com/2-piece-embroidered-khaddar-suit-with-khaddar-trouser-21537
3 Piece Printed Cotton Satin Suit with Fancy Dupatta,        Printed Fancy Dupatta| Prited cotton satin shirt 3.12 Meters| Dyed cotton satin Trouser    ,Cotton Satin,Maroon,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotton-satin-suit-with-fancy-dupatta-21528
1 Piece Printed Denim Shirt,        Printed Denim Shirt 2.2 Meters    ,Denim,Blue,PKR 2000 ,-,-,1 Piece,In stock,Unstitched,Women,2.2,Printed,https://www.alkaramstudio.com/1-piece-printed-denim-shirt-21577
3 Piece Printed Cotton Satin Suit with Fancy Dupatta,        Printed Fancy Dupatta| Prited cotton satin shirt 3.12 Meters| Dyed cotton satin Trouser    ,Cotton Satin,Green,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotton-satin-suit-with-fancy-dupatta-21527
2 Piece Embroidered Khaddar Suit with Khaddar Trouser,        Yarn dyed Embroidered Shirt 3 Meters| Dyed Khaddar Trouser    ,Khaddar,Off White,PKR 3500 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Embroidered,https://www.alkaramstudio.com/2-piece-embroidered-khaddar-suit-with-khaddar-trouser
3 Piece Printed Cotton Satin Suit with Fancy Dupatta,        Printed Fancy Dupatta| Printed Cotton satin DIgital Shirt 3.12 Meters| Dyed Cotton Satin Trouser    ,Cotton Satin,Green,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotton-satin-suit-with-fancy-dupatta-21525
3 Piece Embroidered Khaddar Suit with Khaddar Dupatta,        Printed Khaddar Dupatta| Printed Khaddar Shirt 3 Meters| Separate embroidered Neckline| Dyed Khaddar Trouser    ,Khaddar,Mustard,PKR 3500 ,-,-,3 Piece,In stock,Unstitched,Women,8,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-khaddar-suit-with-khaddar-dupatta-21529
3 Piece Printed Cotton Satin Suit with Fancy Dupatta,        Printed Fancy Dupatta| Printed Cotton satin DIgital Shirt 3.12 Meters| Dyed Cotton Satin Trouser    ,Cotton Satin,Blue,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotton-satin-suit-with-fancy-dupatta-21524
3 Piece Printed Cotton Satin Suit with Fancy Dupatta,        Printed Fancy Dupatta| Printed Cotton satin DIgital Shirt 3.12 Meters| Dyed Cotton Satin Trouser    ,Cotton Satin,Brown,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotton-satin-suit-with-fancy-dupatta-21523
3 Piece Printed Cotton Satin Suit with Fancy Dupatta,        Printed Fancy Dupatta| Printed Cotton satin DIgital Shirt 3.12 Meters| Dyed Cotton Satin Trouser    ,Cotton Satin,Blue,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotton-satin-suit-with-fancy-dupatta
3 Piece Dyed Jacquard Suit with Jacquard Dupatta,        Jacquard Dupatta| Jacquard Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Jacquard,Beige,PKR 5500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Dyed,https://www.alkaramstudio.com/3-piece-dyed-jacquard-suit-with-jacquard-dupatta-21503
3 Piece Dyed Jacquard Suit with Jacquard Dupatta,        Jacquard Dupatta| Jacquard Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Jacquard,Grey,PKR 5500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Dyed,https://www.alkaramstudio.com/3-piece-dyed-jacquard-suit-with-jacquard-dupatta-21502
3 Piece Dyed Jacquard Suit with Jacquard Dupatta,Jacquard Dupatta| Jacquard Shirt 3.12 Meters| Dyed Khaddar Trouser ,Jacquard,Blue,PKR 5500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Dyed,https://www.alkaramstudio.com/3-piece-dyed-jacquard-suit-with-jacquard-dupatta-21501
3 Piece Dyed Jacquard Suit with Jacquard Dupatta,Jacquard Dupatta| Jacquard Shirt 3.12 Meters| Dyed Khaddar Trouser ,Jacquard,Black,PKR 5500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Dyed,https://www.alkaramstudio.com/3-piece-dyed-jacquard-suit-with-jacquard-dupatta-21500
3 Piece Dyed Jacquard Suit with Jacquard Dupatta,Jacquard Dupatta| Jacquard Shirt 3.12 Meters| Dyed Khaddar Trouser ,Jacquard,Blue,PKR 5500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Dyed,https://www.alkaramstudio.com/3-piece-dyed-jacquard-suit-with-jacquard-dupatta
3 Piece Printed Cotail Viscose Suit with Cotail Viscose Dupatta,Printed Cottail viscose Dupatta| Printed Cottail viscose shirt 3 Meters| Dyed Cottail viscose Trouser ,Linen,Orange,PKR 3400 ,-,-,3 Piece,In stock,Unstitched,Women,8,Printed,https://www.alkaramstudio.com/3-piece-printed-cotail-viscose-suit-with-cotail-viscose-dupatta-21532
3 Piece Embroidered Cotail Viscose Suit with Cotail Viscose Dupatta,Printed Cottail viscose Dupatta| Printed Cottail viscose shirt 3 Meters| Embridered Shirt Front| Dyed Cottail viscose Trouser ,Linen,Blue,PKR 4000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-cotail-viscose-suit-with-cotail-viscose-dupatta-21473
3 Piece Embroidered Cotail Viscose Suit with Cotail Viscose Dupatta,        Printed Cottail viscose Dupatta| Printed Cottail viscose shirt 3 Meters| Embridered Shirt Front| Dyed Cottail viscose Trouser    ,Linen,Pink,PKR 4000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-cotail-viscose-suit-with-cotail-viscose-dupatta
3 Piece Printed Cotail Viscose Suit with Cotail Viscose Dupatta,Printed Cotail viscose Dupatta| Printed Cotail viscose Shirt 3.12 Meters| Dyed Cotail viscose Trouser ,Linen,Green,PKR 3400 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotail-viscose-suit-with-cotail-viscose-dupatta-21530
3 Piece Printed Cotail Viscose Suit with Cotail Viscose Dupatta,        Printed Cotail viscose Dupatta| Printed Cotail viscose Shirt 3.12 Meters| Dyed Cotail viscose Trouser    ,Linen,Grey,PKR 3400 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotail-viscose-suit-with-cotail-viscose-dupatta-21529
3 Piece Printed Cotail Viscose Suit with Cotail Viscose Dupatta,        Printed Cottail viscose Dupatta| Printed Cottail viscose shirt 3 Meters| Dyed Cottail viscose Trouser    ,Linen,Blue,PKR 3400 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotail-viscose-suit-with-cotail-viscose-dupatta-21528
3 Piece Printed Cotail Viscose Suit with Cotail Viscose Dupatta,Printed Cottail viscose Dupatta| Printed Cottail viscose shirt 3 Meters| Dyed Cottail viscose Trouser ,Linen,Green,PKR 3400 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotail-viscose-suit-with-cotail-viscose-dupatta-21527
3 Piece Printed Cotail Viscose Suit with Cotail Viscose Dupatta,Printed Cotail viscose Dupatta| Printed Cotail viscose Shirt 3.12 Meters| Dyed Cotail viscose Trouser ,Linen,Charcoal,PKR 3400 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotail-viscose-suit-with-cotail-viscose-dupatta-21526
