,Name,Description,Old Price,New Price,Discount,Size(s)
88,Mustard SSM-23,"Tissue Silk Printed Dupatta – 2.5 meters
Cotton Printed Shirt – 3 meters
Cotton Dyed Bottom – 1.75 meters
Polyester Embroidered Lace","PKR 4,615","PKR 3,231",30,
89,Cream SSM-18,"Tissue Silk Printed Dupatta – 2.5 meters
Cotton Printed Shirt – 1.2 meters
Cotton Printed Embroidered Shirt – 1.2 meters
Cotton Dyed Bottom – 1.75 meters","PKR 4,615","PKR 3,231",30,
90,Brown CL-540 B,"Cotton Printed Dupatta – 2.5 meters
Cotton Printed Shirt – 1.15 meters
Cotton Dyed Bottom – 1.75 meters","PKR 3,175","PKR 2,223",30,
91,Light Purple CL-540 A,"Cotton Printed Dupatta – 2.5 meters
Cotton Printed Shirt – 1.15 meters
Cotton Dyed Bottom – 1.75 meters","PKR 3,175","PKR 1,905",40,
92,Baby Pink EA-92,"Bamber Dyed Embroidered Dupatta – 2.5 meters
Polyester Embroidered Shirt – 2.3 meters
Cotton Dyed Bottom – 1.75 meters
Polyester Embroidered Lace – 1.32 meters","PKR 13,000","PKR 7,800",40,
93,Off White EA-72,"Polyester Embroidered Dupatta – 2.5 meters
Cotton Dyed Embroidered Shirt – 1.88 meters
Dyed Plain Back
Cotton Dyed Bottom – 2.5 meters
Polyester Embroidered Lace","PKR 12,000","PKR 7,200",40,
94,Green TL-204 B,"Printed Dupatta – 2.5 meters
Printed Shirt – 1.75 meters
Embroidered Border and Daaman","PKR 3,550","PKR 2,130",40,
95,Green SSM-19,"Digital Printed Tissue Silk Dupatta – 2.5 meters
Digital Printed Shirt – 3 meters
Embroidered Neckline and Border
Dyed Bottom – 1.75 meters","PKR 6,830","PKR 4,098",40,
96,Beige SSM-02,"Tissue Silk Embroidered Dupatta – 2.5 meters
Cotton Printed Shirt – 2.4 meters
Cotton Dyed Bottom – 1.75 meters
Polyester Embroidered Lace","PKR 6,830","PKR 4,098",40,
97,Blue SSM-01,"Digital Printed Tissue Silk Dupatta – 2.5 meters
Dyed Embroidered Shirt – 2.4 meters
Embroidered Lace for Neckline
Dyed Embroidered Bottom – 1.65 meters","PKR 6,830","PKR 4,098",40,
98,Mehandi BM-99,"Chiffon Printed Dupatta – 2.5 meters
Printed Shirt with Embroidered Front – 1.825 meters
Dyed Bottom – 1.75 meters","PKR 6,830","PKR 4,098",40,
99,Off White BM-113,"Digital Printed Chiffon Dupatta – 2.5 meters
Digital Printed Shirt – 3 meters
Embroidered Neckline & Border
Dyed Bottom – 2.5 meters","PKR 7,150","PKR 4,290",40,
100,Blue BM-103,"Printed Chiffon Dupatta – 2.5 meters
Printed Shirt with Embroidered Neckline – 3 meters
Embroidered Border
Dyed Bottom – 1.75 meters","PKR 6,830","PKR 4,098",40,
101,White CL-532 B,"Printed Dupatta – 2.5 meters
Printed Shirt – 1.15 meters
Embroidered Front
Dyed Bottom – 1.75 meters","PKR 5,110","PKR 3,066",40,
102,White CL-532 A,"Printed Dupatta – 2.5 meters
Printed Shirt – 1.15 meters
Embroidered Front
Dyed Bottom – 1.75 meters","PKR 5,110","PKR 3,066",40,
103,Lilac CL-616 B,"Printed Dupatta – 2.5 meters
Printed Shirt – 1.75 meters
Embroidered Border and Motif
Dyed Bottom – 1.75 meters","PKR 4,625","PKR 2,775",40,
104,Pink CL-535 A,"Printed Dupatta – 2.5 meters
Printed Shirt – 1.75 meters
Dyed Bottom – 1.75 meters","PKR 3,430","PKR 2,058",40,
105,Light Purple CL-644 B (Box),"Printed Dupatta – 2.5 meters
Printed Shirt – 1.75 meters
Printed Shirt – 1.75 meters","PKR 4,195","PKR 2,937",30,
106,Blue CL-644 A (Box),"Printed Dupatta – 2.5 meters
Printed Shirt – 1.75 meters
Printed Shirt – 1.75 meters","PKR 4,195","PKR 2,937",30,
107,Off White CL-643 (Box),"Printed Shirt – 1.75 meters
Printed Shirt – 1.75 meters
Dyed Bottom – 1.75 meters","PKR 3,765","PKR 2,636",30,
