,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,All Sizes,Extra Detail
21,Red Wood,"Embroidered Front, Plain Back, Full with Embroidery, Boat Neck",Straight Kurta,"This longline kurta with a boat neck comes in rosy jacquard, and features linear dark embroidered patterns.","Rs.4,990.00","Rs.3,243.50",Red,Self Jacquard,"XXS,XS,S,M,L,XL",
22,Green Fobia,"Embroidered Front, Plain Back with Embroidered Hem, Full with Embroidery, Round Neck with Slit",Front Slit Shirt,This deep teal crepe piece is the opposite of demure with its sensuous black lace detailing and split neckline.,"Rs.6,990.00","Rs.4,543.50",Green,Crepe Weaved,"XS,S,M,L,XL",
23,Mustard Mania,"Embroidered Front, Embroidered Back, Full with Embroidered Cuff, Y Neckline",Straight Kurta,This jacquard kurta with a Y-neckline comes in a vibrant ochre shade with contrasting round embroidered motifs.,"Rs.4,490.00","Rs.2,918.50",Mustard,Self Jacquard,"XS,S,M,L,XL",
24,Ice Pink,"Embroidered Front, Plain Back, Full with Embroidered Border, Wrap Arround Neck",Angrakha,"A delicate sea green khaddar angrakha, with an embroidered wrap neckline and intricately worked motifs across the front.","Rs.3,990.00","Rs.2,593.50",Sea Green,Khaddar,"XXS,XS,S,M,L,XL",
25,Glimmering Garden,"Embroidered Front, Embroidered Back, Full with Embroidered Border, Y Neckline",Straight Kurta,Geometric crimson motifs and cuff detailing adorn this off-white jacquard kurta.,"Rs.4,990.00","Rs.3,243.50",Off-White,Self Jacquard,"XXS,XS,S,M,L,XL",
26,Black Frost,,Straight Pants,These straight-cut trousers come in jet black raw silk.,"Rs.4,490.00","Rs.2,918.50",Black,Raw Silk,"XS,S,M,L,XL",
27,Stone age Glow,,Tulip Shalwar,An elegant white tulip shalwar in raw silk with delicate embroidered motifs.,"Rs.3,990.00","Rs.2,593.50",White,Raw Silk,"XXS,XS,S,M,L,XL",
28,Glowing Star,,Cigarette Pants,These black cigarette pants in raw silk are bedazzled with golden floral embroidery.,"Rs.4,490.00","Rs.2,918.50",Black,Raw Silk,"XXS,XS,S,M,L,XL",
29,Belgian,,Cigarette Pants,Raw silk cigarette trousers in a cream hue with dazzling silver embroidery along the hem.,"Rs.3,990.00","Rs.2,593.50",Cream,Raw Silk,"XXS,XS,S,M,L,XL",
30,Amazing Gardenia,"Embroidered Front, Printed Back, Full Sleeves with Embroidery, Round Neckline with Slit",Straight Kurta,This funky kurta is an ode to springtime with its whimsical tree print and marigold hue.,"Rs.3,990.00","Rs.2,593.50",Yellow,Cotton Karandi,"XXS,XS,S,M,L,XL",
31,Afghan Craze,"Printed Front, Printed Back, Full Sleeves, Round Neckline with Slit",Straight Kurta,Multi-width stripes in neutral prints make for a statement print on this satin kurta.,"Rs.2,990.00","Rs.1,943.50",Grey,Cotton Satin,"XS,S,M,L,XL",
32,Melange Ocean,"Plain Front, Plain Back, Full Sleeves, Round Neckline with Slit",Straight Kurta,This stylish piece mixes deep teal and splashes of crimson for a fresh take on casual.,"Rs.2,990.00","Rs.1,943.50",Sea Green,Melange,"XXS,XS,S,M,L,XL",
33,Sheer Elegance,"Printed & Embroidered Front, Printed Back, Full Sleeves with Embroidered Patti, Round Neckline with Slit",2-Piece Straight Shirt with Dupatta,Opulent off-white printed twill is worked with embroidery for this beautiful kurta. It comes with a matching printed shawl.,"Rs.5,990.00","Rs.3,893.50",Off White,Twill,"XXS,XS,S,M,L,XL",Printed Shawl Color: Off White
34,Aspiring Dream,"Printed Front, Printed Back, Full Sleeves, Band Neck with Buttons",Straight Kurta,This subdued navy twill kurta has a buttoned band collar and is strategically printed along the sleeves and hem.,"Rs.2,790.00","Rs.1,813.50",Blue,Twill,"XS,S,M,L,XL",
35,Gleaming Swirl,"Embroidered Front, Plain Back with Embroidered Hem, Full Embroidered Sleeves, Round Neckline with Slit",Straight Kurta,This luxuriously embroidered longline kurta is a statement piece in tantalizing red.,"Rs.7,990.00","Rs.5,193.50",Red,Masori Cotton Sheen,"XS,S,M,L,XL",
