,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,Types,All Sizes
10,Azure,"Embroidered Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"This kurta is cut from navy blue herringbone, and features intricate embroidery and a band collar.","Rs.4,490.00","Rs.2,918.50",Navy ﻿,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
11,Gingham,,Chelsea Boot,Leather chelsea boots in classic black are an all-season must-have.,"Rs.4,490.00","Rs.2,918.50",Black Material: Leathe,s:  Color: Black Material: Leather,"40,41,42,43,44,45",
12,Devon A,,Regular Fit Chinos,These black regular cut trousers are made from pima cotton for a wrinkle-free fit.,"Rs.4,490.00","Rs.2,918.50",Black,"98% Cotton, 2% Lycra","30,32,34,36,38,40",
13,Tusk,,Regular Fit Casual Shirt,A sumptuous 100% cotton Oxford in ivory with a regular fit.,"Rs.2,490.00","Rs.1,618.50",White,100% cotton,,"S,M,L,XL"
14,Pointillism,,Regular Fit Casual Shirt,A cotton dobby piece in a deep blue hue with a smattering of dots.,"Rs.2,990.00","Rs.1,943.50",Blue,100% cotton,,"S,M,L,XL"
15,Azuro,,Regular Fit Casual Shirt,"A minimalist pattern and a rich, peacock blue hue make this cotton dobby piece stand out.","Rs.2,990.00","Rs.1,943.50",Blue,100% cotton,,"S,M,L,XL"
16,Woody,,Regular Fit Casual Shirt,A slate blue tartan overlaid onto a steely grey yarn backdrop.,"Rs.3,490.00","Rs.2,268.50",Blue & Grey,100% cotton,,"S,M,L,XL"
17,Picnic,,Regular Fit Casual Shirt,A maroon hue upgrades this checked poplin shirt.,"Rs.2,990.00","Rs.1,943.50",Maroon,100% cotton,,"S,M,L,XL"
18,Dapper,,Regular Fit Casual Shirt,This monochrome checked shirt in poplin comes in a regular fit.,"Rs.2,990.00","Rs.1,943.50",Blue & White,100% cotton,,"S,M,L,XL"
19,Sky,,Regular Fit Casual Shirt,This striped powder blue Oxford comes in a regular fit.,"Rs.2,490.00","Rs.1,618.50",Light Blue,100% cotton,,"S,M,L,XL"
20,Herder,,Regular Fit Casual Shirt,This Oxford striped shirt comes with the palest shade of pink for the perfect pastel fit.,"Rs.2,490.00","Rs.1,618.50",Pink,100% cotton,,"S,M,L,XL"
