Name,Description,Material,Color,Current Price,Old Price,Discount,Piece,Best-seller
Shirt Shalwar Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Blue,PKR 2200,,,3Pc,FALSE
Shirt Shalwar,Front Lawn Printed 1.25m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.5m/Shalwar 2.5m/,Lawn,Black,PKR 1500,,,2Pc,FALSE
Shirt Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/,Lawn,Orange,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Back-lawn Printed 1.25m/,Lawn,Beige,PKR 2200,,,3Pc,FALSE
Shirt Shalwar,Front Lawn Printed 1.25m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.5m/Shalwar 2.5m/,Lawn,Blue,PKR 1500,,,2Pc,FALSE
Shirt Dupatta,Front Lawn Printed 1.25m/Back & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/,Lawn,Off-White,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Sleeves Lawn Printed 0.75m/,Lawn,Blue,PKR 2200,,,3Pc,FALSE
Shirt Shalwar,Front Lawn Printed 1.25m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.5m/Shalwar 2.5m/,Lawn,Beige,PKR 1500,,,2Pc,FALSE
Shirt Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/,Lawn,Yellow,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Back Lawn Printed 1.25m/,Lawn,Blue,PKR 2200,,,3Pc,FALSE
Shirt Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/,Lawn,Blue,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Back Lawn Printed 1.25m/,Lawn,Green,PKR 2200,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Back-lawn Printed 1.25m/,Lawn,Blue,PKR 2200,,,3Pc,FALSE
Shirt Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/,Lawn,Grey,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Beige,PKR 2200,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front Lawn Printed 1.25m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.75m/,Lawn,Pink,PKR 2200,,,3Pc,FALSE
Shirt Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/,Lawn,Red,PKR 1601,,,2Pc,FALSE
Shirt Dupatta,Front Lawn Printed 1.25m/Back & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/,Lawn,Blue,PKR 1601,,,2Pc,TRUE
Shirt Shalwar Dupatta,Lawn Printed Shirt 3.25m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,White,PKR 2200,,,3Pc,FALSE
Shirt Shalwar,Front Lawn Printed 1.25m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.5m/Shalwar 2.5m/,Lawn,Yellow,PKR 1500,,,2Pc,FALSE
Shirt Shalwar,Front & Back Khaddar Print Embroidered 2.5m/Sleeve Khaddar Printed 0.75m/Embroidered Shalwar 2.5m/,Khaddar,Yellow,PKR 2500,,,2Pc,FALSE
Shirt Shalwar,Front Khaddar Print Embroidered 1.25m/Back & Sleeve Khaddar Printed 2.0m/Embroidered Shalwar 2.5m/,Khaddar,Purple,PKR 2500,,,2Pc,FALSE
Shirt Shalwar,Front & Back Khaddar Print Embroidered 2.5m/Sleeve Khaddar Printed 0.5m/Embroidered Shalwar 2.5m/,Khaddar,Blue,PKR 2500,,,2Pc,FALSE
Shirt Shalwar Dupatta,Khaddar Printed Shirt 3.0m/Chiffon Printed Dupatta 2.5m/Shalwar 2.5m/,Khaddar,Blue,PKR 3200,,,3Pc,FALSE
Shirt Shalwar,Front Khaddar Print Embroidered 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Printed 0.5m/Shalwar 2.5m/,Khaddar,Black,PKR 2200,,,2Pc,FALSE
Shirt Shalwar,Front Khaddar Printed 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Print Embroidered 0.5m/Shalwar 2.5m/,Khaddar,Yellow,PKR 2200,,,2Pc,FALSE
Shirt Shalwar,Front Khaddar Printed 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Print Embroidered 0.5m/Shalwar 2.5m/,Khaddar,Pink,PKR 2200,,,2Pc,FALSE
Shirt Shalwar,Front Khaddar Printed 1.25m/Back & Sleeve Khaddar Print Embroidered 2.0m/Embroidered Shalwar 2.5m/,Khaddar,Green,PKR 2500,,,2Pc,FALSE
Shirt Shalwar,Front & Back Khaddar Print Embroidered 2.5m/Sleeve Khaddar Printed 0.5m/Embroidered Shalwar 2.5m/,Khaddar,Beige,PKR 2500,,,2Pc,FALSE
Shirt Shalwar,Front & Back Khaddar Print Embroidered 2.5m/Sleeve Khaddar Printed 0.75m/Embroidered Shalwar 2.5m/,Khaddar,Beige,PKR 2500,,,2Pc,FALSE
Shirt Shalwar,Front Khaddar Print Embroidered 1.25m/Back & Sleeve Khaddar Printed 2.0m/Embroidered Shalwar 2.5m/,Khaddar,Green,PKR 2500,,,2Pc,FALSE
Shirt Shalwar Dupatta,Khaddar Printed Shirt 3.0m/Chiffon Printed Dupatta 2.5m/Shalwar 2.5m/,Khaddar,Yellow,PKR 3200,,,3Pc,FALSE
Shirt Shalwar,Front Khaddar Print Embroidered 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Printed 0.5m/Shalwar 2.5m/,Khaddar,Red,PKR 2200,,,2Pc,FALSE
Shirt Shalwar,Front Khaddar Printed 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Print Embroidered 0.5m/Shalwar 2.5m/,Khaddar,Grey,PKR 2200,,,2Pc,FALSE
Shirt Shalwar,Front Khaddar Print Embroidered 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Printed 0.5m/Shalwar 2.5m/,Khaddar,Green,PKR 2200,,,2Pc,FALSE
Shirt Shalwar,Front Khaddar Printed 1.25m/Back & Sleeve Khaddar Print Embroidered 2.0m/Embroidered Shalwar 2.5m/,Khaddar,Grey,PKR 2500,,,2Pc,TRUE
Shirt Shalwar,Digital Printed PV Front 1.25m/Digital Printed PV Back 1.25m/Digital Printed PV Sleeve 0.5m/Shalwar 2.5m/,Poly Viscose,Orange,PKR 1400,,,2Pc,FALSE
Shirt Shalwar,Front & Back PV Printed 2.5m/Sleeve PV Print Embroidered 0.5m/Shalwar 2.5m/Embroidered Patti/,Poly Viscose,Black,PKR 2200,,,2Pc,FALSE
